PRESENT_SN,LCLAS_CL,MLSFC_CL,SCLAS_CL,ATRB_SE,WTNNC_SN,NTFC_SN,DGM_NM,DGM_AR,DGM_LT,SIGNGU_SE,DRAWING_NO,CREATE_DAT,SHAPE_AREA,SHAPE_LEN,EMD_CD,COL_ADM_SE,EMD_NM,SGG_OID
11000UQ181PS201912150703,UQ1200,UQ1230,UQ1232,UQ1232,11000AGZ198502282324,11000NTC198502286726,서린12구역도시환경정비사업,6564.67855174,306.68286132,"11000",,2019/12/15,6564.67855180000,306.68286132400,"11110123","11110",서린동,363
11000UQ181PS201912150831,UQ1200,UQ1230,UQ1232,UQ1232,11000AGZ198408132216,11000NTC198408136236,서린18구역도시환경정비사업,2238.05026197,191.53037613,"11000",,2019/12/15,2238.05026200000,191.53037613300,"11110123","11110",서린동,363
11000UQ181PS201912150819,UQ1200,UQ1230,UQ1232,UQ1232,11000AGZ198408132220,11000NTC198408136236,서린10구역도시환경정비사업,1246.19410501,141.28331688,"11000",,2019/12/15,1246.19410500000,141.28331687800,"11110123","11110",서린동,363
11000UQ181PS201912150572,UQ1200,UQ1230,UQ1232,UQ1232,11000AGZ199608100794,11000NTC199608106286,서린17-1구역도시환경정비사업,1670.67601748,184.32596360,"11000",,2019/12/15,1670.67601750000,184.32596359900,"11110123","11110",서린동,363
11000UQ181PS201912151106,UQ1200,UQ1220,UQ1222,UQ1222,11000AGZ198408132230,11000NTC198408136236,서린도시환경정비사업,32430.33790124,1031.10200140,"11000",,2019/12/15,32430.33790130000,1031.10200140000,"11110123","11110",서린동,363
11000UQ181PS201912150867,UQ1200,UQ1230,UQ1232,UQ1232,11000AGZ199411230529,11000NTC199411234891,서린6구역도시환경정비사업,5772.01710447,307.92824270,"11000",,2019/12/15,5772.01710440000,307.92824269900,"11110123","11110",서린동,363
11000UQ181PS201912151126,UQ1200,UQ1210,UQ1211,UQ1211,11000AGZ000000001811,,주거환경개선사업,6494.43341311,521.48701289,"11000",,2019/12/15,6494.43341306000,521.48701288600,"11110178","11110",송월동,361
11000UQ181PS202212230005,UQ1200,UQ1220,UQ1222,UQ1222,11000AGZ202212210002,11110NTC202212210002,돈의문1재정비촉진구역,152595.23968063,2321.74990442,"11000",,2022/12/23,152595.23968100001,2321.74990442000,"11110178","11110",송월동,361
11000UQ181PS201912150744,UQ1200,UQ1210,UQ1212,UQ1212,11000AGZ201709180561,11000NTC201708038227,종로구 교남동·무악동 일대 행촌권,142457.41661967,3210.18547841,"11000",,2019/12/15,142457.41662000000,3210.18547840000,"11110178","11110",송월동,361
11000UQ181PS201912150744,UQ1200,UQ1210,UQ1212,UQ1212,11000AGZ201709180561,11000NTC201708038227,종로구 교남동·무악동 일대 행촌권,142457.41661967,3210.18547841,"11000",,2019/12/15,142457.41662000000,3210.18547840000,"11110178","11110",송월동,361
11000UQ181PS202307180001,UQ5100,UQ5120,,UQ5120,11000AGZ202212210003,11110NTC202306160001,돈의문 재정비촉진지구,168226.98540098,2630.98847153,"11000",,2023/07/18,168226.98540100001,2630.98847153000,"11110178","11110",송월동,361
11000UQ181PS202307180002,UQ1200,UQ1220,UQ1222,UQ1222,11000AGZ201708039258,11110NTC202306160001,돈의문2재정비촉진구역,6781.90534864,439.52929484,"11000",,2023/07/18,6781.90534864000,439.52929484100,"11110178","11110",송월동,361
11000UQ181PS201912151820,UQ1900,,,UQ1900,11000AGZ195410145238,11000NTC195410149946,종오(중앙1지구)토지구획정리사업,73947.91176643,1668.64089966,"11000",,2019/12/15,73947.91176639999,1668.64089966000,"11110158","11110",예지동,360
